case,t,att_err_angle_E,att_err_angle_Q,tau_norm_E,tau_norm_Q,omega_norm_E,omega_norm_Q,eR_norm_E,eR_norm_Q,condE
NearSingularity_90deg,3.14,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.141,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.142,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1430000000000002,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.144,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.145,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.146,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1470000000000002,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.148,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.149,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.15,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1510000000000002,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.152,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.153,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.154,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1550000000000002,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.156,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.157,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.158,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1590000000000003,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.16,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.161,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.162,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1630000000000003,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.164,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.165,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.166,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1670000000000003,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.168,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.169,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.17,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1710000000000003,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.172,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.173,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.174,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
